bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-24053_ses-1_task-bao_dir-AP_run-01_echo-1_part-mag_bold	[0.0014145679012345681, 0.00166880658436214, 0.0016797942386831276, 0.0014713168724279837, 0.0012056378600823045]	[0.019318842386831275, 0.02697442181069959, 0.033428616872427985, 0.044472882716049385, 0.061918294650205756]	0	53.94587196793392	1.2255741774380169	0.9941089966528922	0.5304	24625.7305	0.07428429473308841	1	0.411522633744856	2.7723366666666664	2.65045	2.93184	2.73472	[0.00257251, 0.00249751, 0.00219789, 0.00164109, 0.00124089]	-0.00410443264991045	0.02040247991681099	243	110	110	72	4.217396655197089	1.7610000371932983	2.0	2.0	2.0	9.6103	152.2138	1352.2327	117.0	659867.0	10.0	8025.0	2886.4649	2.7749	3479.013	17849.7199	18333.0	211333.0	9020.0	23500.0	4346.9842	33.4961781273596
sub-24053_ses-1_task-bao_dir-AP_run-01_echo-2_part-mag_bold	[0.0014145679012345681, 0.00166880658436214, 0.0016797942386831276, 0.0014713168724279837, 0.0012056378600823045]	[0.019318842386831275, 0.02697442181069959, 0.033428616872427985, 0.044472882716049385, 0.061918294650205756]	0	70.71734896607435	1.22592458268595	0.9902999541322314	0.465	61907.4922	0.07428429473308841	1	0.411522633744856	2.704121666666667	2.59999	2.97245	2.539925	[0.00257251, 0.00249751, 0.00219789, 0.00164109, 0.00124089]	0.003248321358114481	0.0031504237558692694	243	110	110	72	2.995097495583371	1.7610000371932983	2.0	2.0	2.0	81.3573	52.4341	339.1202	46.0	659867.0	8.0	1591.0	936.0421	1.0469	2935.4554	11126.2676	11551.0	211333.0	2322.0	16452.0	3856.6266	24.138170724036172
sub-24053_ses-1_task-bao_dir-AP_run-01_echo-3_part-mag_bold	[0.0014145679012345681, 0.00166880658436214, 0.0016797942386831276, 0.0014713168724279837, 0.0012056378600823045]	[0.019318842386831275, 0.02697442181069959, 0.033428616872427985, 0.044472882716049385, 0.061918294650205756]	0	101.24635097409094	1.2196887979752067	0.9882484911983467	0.4333	51705.7461	0.07428429473308841	1	0.411522633744856	2.556181666666667	2.436955	2.83731	2.39428	[0.00257251, 0.00249751, 0.00219789, 0.00164109, 0.00124089]	0.0025202299002557993	0.006039089057594538	243	110	110	72	2.140776459777657	1.7610000371932983	2.0	2.0	2.0	496.1271	30.4574	149.7119	31.0	659867.0	7.0	643.0	490.6826	1.6623	2505.1272	6834.4926	6953.0	211333.0	885.0	11687.0	3247.8793	16.112548114033416
sub-24053_ses-1_task-bao_dir-AP_run-01_echo-4_part-mag_bold	[0.0014145679012345681, 0.00166880658436214, 0.0016797942386831276, 0.0014713168724279837, 0.0012056378600823045]	[0.019318842386831275, 0.02697442181069959, 0.033428616872427985, 0.044472882716049385, 0.061918294650205756]	0	154.42589209698346	1.2329772273553719	0.9881092018595037	0.4039	24840.2422	0.07428429473308841	1	0.411522633744856	2.3882800000000004	2.23321	2.66265	2.26898	[0.00257251, 0.00249751, 0.00219789, 0.00164109, 0.00124089]	0.00043255393393337727	0.008906826376914978	243	110	110	72	1.4802308887905433	1.7610000371932983	2.0	2.0	2.0	930.6374	21.6655	94.2163	25.0	659867.0	7.0	356.0	358.5959	6.134	2076.0883	4178.3278	3998.0	211333.0	445.0	8451.0	2700.9236	10.324281093780883
sub-24053_ses-1_task-bao_dir-AP_run-01_echo-5_part-mag_bold	[0.0014145679012345681, 0.00166880658436214, 0.0016797942386831276, 0.0014713168724279837, 0.0012056378600823045]	[0.019318842386831275, 0.02697442181069959, 0.033428616872427985, 0.044472882716049385, 0.061918294650205756]	0	240.83983183326447	1.257465594628099	0.9880230901652893	0.3694	9458.5645	0.07428429473308841	1	0.411522633744856	2.282078333333333	2.092855	2.55294	2.20044	[0.00257251, 0.00249751, 0.00219789, 0.00164109, 0.00124089]	-0.0018143374472856522	0.01223241537809372	243	110	110	72	0.9879975439997031	1.7610000371932983	2.0	2.0	2.0	1205.074	18.4258	71.4979	23.0	659867.0	7.0	245.0	285.6598	14.1437	1593.9011	2617.1749	2252.0	211333.0	262.0	6226.0	2279.3525	6.600693787448108
sub-24053_ses-1_task-rat_dir-PA_run-01_echo-1_part-mag_bold	[0.0006400550964187327, 0.0008679063360881543, 0.0009596969696969695, 0.0009238842975206614, 0.0008224242424242424]	[0.01812517575757576, 0.025161121763085402, 0.03289351377410469, 0.04464005812672176, 0.06278629834710744]	0	51.96277595198895	1.1980591403038676	0.9998170725966858	0.5313	23472.7422	0.06650872440398281	6	1.6528925619834711	2.8042166666666666	2.7067	2.921355	2.784595	[0.00124621, 0.00323443, 0.00265875, 0.00207679, 0.00140354]	-0.004051291383802891	0.026235636323690414	363	110	110	72	4.0443779816737875	1.7610000371932983	2.0	2.0	2.0	10.1738	154.9544	1391.5004	118.0	660508.0	10.0	8157.0	2970.0949	2.3297	3525.2118	17709.5758	18044.0	210692.0	8927.0	24171.0	4461.4913	33.67716053966433
sub-24053_ses-1_task-rat_dir-PA_run-01_echo-2_part-mag_bold	[0.0006400550964187327, 0.0008679063360881543, 0.0009596969696969695, 0.0009238842975206614, 0.0008224242424242424]	[0.01812517575757576, 0.025161121763085402, 0.03289351377410469, 0.04464005812672176, 0.06278629834710744]	0	68.43839509436461	1.211332477071823	1.0004843962430945	0.4642	65353.7383	0.06650872440398281	6	1.6528925619834711	2.694475	2.616865	2.927785	2.538775	[0.00124621, 0.00323443, 0.00265875, 0.00207679, 0.00140354]	0.0041442327201366425	0.003882654244080186	363	110	110	72	2.949584960034952	1.7610000371932983	2.0	2.0	2.0	44.3162	52.2301	336.9388	45.0	660508.0	7.0	1582.0	889.0026	1.0128	2977.3621	11094.6753	11461.0	210692.0	2333.0	16624.0	3885.6222	24.1983185056597
sub-24053_ses-1_task-rat_dir-PA_run-01_echo-3_part-mag_bold	[0.0006400550964187327, 0.0008679063360881543, 0.0009596969696969695, 0.0009238842975206614, 0.0008224242424242424]	[0.01812517575757576, 0.025161121763085402, 0.03289351377410469, 0.04464005812672176, 0.06278629834710744]	0	98.66857092428185	1.213809220994476	1.0007594975966854	0.4339	55433.5586	0.06650872440398281	6	1.6528925619834711	2.501393333333333	2.41275	2.74718	2.34425	[0.00124621, 0.00323443, 0.00265875, 0.00207679, 0.00140354]	0.0035751904360949993	0.007186762057244778	363	110	110	72	2.156606138279167	1.7610000371932983	2.0	2.0	2.0	240.9518	30.1667	147.4363	30.0	660508.0	7.0	664.0	405.0484	1.9835	2466.0109	6858.7831	6959.0	210692.0	933.0	11728.0	3226.8217	16.19353655842133
sub-24053_ses-1_task-rat_dir-PA_run-01_echo-4_part-mag_bold	[0.0006400550964187327, 0.0008679063360881543, 0.0009596969696969695, 0.0009238842975206614, 0.0008224242424242424]	[0.01812517575757576, 0.025161121763085402, 0.03289351377410469, 0.04464005812672176, 0.06278629834710744]	0	149.65493121058012	1.231149259309393	1.000010234254143	0.4072	27628.4492	0.06650872440398281	6	1.6528925619834711	2.33262	2.21542	2.557905	2.224535	[0.00124621, 0.00323443, 0.00265875, 0.00207679, 0.00140354]	0.00208844430744648	0.011348466388881207	363	110	110	72	1.5281148773795956	1.7610000371932983	2.0	2.0	2.0	576.8333	22.4351	92.4807	25.0	660508.0	7.0	377.0	266.4352	6.8568	2002.8933	4243.2013	4081.0	210692.0	477.0	8473.0	2670.6044	10.55418076692149
sub-24053_ses-1_task-rat_dir-PA_run-01_echo-5_part-mag_bold	[0.0006400550964187327, 0.0008679063360881543, 0.0009596969696969695, 0.0009238842975206614, 0.0008224242424242424]	[0.01812517575757576, 0.025161121763085402, 0.03289351377410469, 0.04464005812672176, 0.06278629834710744]	0	232.21328693204413	1.2562916361049723	0.998577546574585	0.3753	11033.6738	0.06650872440398281	6	1.6528925619834711	2.2541283333333335	2.10556	2.459165	2.19766	[0.00124621, 0.00323443, 0.00265875, 0.00207679, 0.00140354]	0.0006567391683347523	0.015163390897214413	363	110	110	72	1.0388160056993505	1.7610000371932983	2.0	2.0	2.0	850.0562	18.2834	69.3429	22.0	660508.0	7.0	259.0	199.0418	15.5905	1515.1092	2682.5225	2340.0	210692.0	284.0	6278.0	2252.5591	6.886869966983795
