trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0346398	0.02756
-0.0004	0.0065	-0.0046	-7.330382858376184e-05	-3.665191429188092e-05	-1.9198621771937625e-05	1.26087761	55.49981689	1.07533631	0.017957718232379016	0.0321911	0.01332
-0.0064	-0.0072	0.0137	-0.00013962634015954637	-6.9813170079773176e-06	-5.585053606381854e-05	1.22281635	53.82448196	1.00540671	0.044632251157578455	0.0306842	0.00922
-0.0046	0.0117	0.0139	-0.0002303834612632515	-4.537856055185256e-05	-7.853981633974481e-05	1.27471769	56.1090126	0.9998956	0.028492182246175328	0.0303935	0.00885
-0.0047	-0.0074	0.0279	-0.0003106686068549907	-1.5707963267948964e-05	-0.0001186823891356144	1.24230278	54.68221283	0.99324282	0.040704915783575615	0.028476	0.00653
-0.0073	0.0005	0.0325	-0.0003106686068549907	-0.00016406094968746698	-0.0001256637061435917	1.24215519	54.6757164	0.99309093	0.022866715171374764	0.0283598	0.00619
-0.0104	-0.0072	0.0239	-0.0	-0.0002897246558310587	-0.0001291543646475804	1.24057043	54.60595703	0.98843984	0.04139114857512856	0.0282772	0.00589
-0.0224	-0.0241	0.0513	-4.18879020478639e-05	-0.0002548180707911721	-0.00013439035240356338	1.25004363	55.02293777	0.98865397	0.06040152374218667	0.0272672	0.00408
-0.0182	0.0029	0.0141	9.42477796076938e-05	-0.00039793506945470715	-0.00014311699866353502	1.25298071	55.15221786	0.98457761	0.0827989663289532	0.0291025	0.00628
-0.0311	-0.0492	0.0398	0.0001605702911834783	-0.00034906585039886593	-0.00020943951023931956	1.28287005	56.46785355	0.99214636	0.09977571211037053	0.0272397	0.00408
-0.0274	-0.001	0.029	0.0004468042885105483	-0.0005061454830783556	-0.0001256637061435917	1.285712	56.5929451	0.99126693	0.08905447170511438	0.0295477	0.0061
-0.0393	-0.0472	0.026	0.0012740903539558604	-0.0003769911184307752	-0.00017104226669544429	1.26926255	55.86889267	1.00189415	0.11119094953223724	0.029487	0.0065
-0.0362	-0.0129	-0.0065	0.0012880529879718153	-0.0005899212871740833	-0.0001675516081914556	1.24909103	54.98100662	0.99302971	0.08141917306316257	0.0314702	0.00874
-0.0389	-0.049	0.0068	0.0016388641676226754	-0.0005724679946541401	-0.00011693705988362007	1.22090459	53.74032974	0.98771464	0.07304395102393194	0.0303549	0.00727
-0.0457	-0.0278	0.005	0.0016877333866785165	-0.0005445427266222308	-0.000148352986419518	1.22818971	54.06099701	0.99061597	0.035210520681182425	0.032041	0.00838
-0.0462	-0.0384	0.0059	0.0015515977050229591	-0.0005724679946541401	-9.250245035569947e-05	1.30812979	57.5797081	0.99775351	0.02299557428756426	0.0320563	0.00752
-0.0492	-0.0413	0.0045	0.001673770752662562	-0.00062482787221397	-0.000148352986419518	1.22533953	53.93554306	0.99424173	0.018819173063162577	0.0312862	0.00768
