trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.093615	0.01584
-0.0011	-0.0117	0.0048	0.00021467549799530252	9.773843811168246e-05	0.0001291543646475804	1.40529609	170.82371521	1.08200252	0.039678415037728273	0.0957155	0.01657
-0.0019	-0.0012	0.0288	0.00028274333882308137	-0.0001064650843716541	1.7453292519943294e-06	1.39591253	169.68307495	1.01330308	0.05528401993533507	0.0926696	0.01572
-0.0068	-0.0055	0.011	-6.283185307179586e-05	-0.0002617993877991494	-0.00019547687622336493	1.22034538	148.34164429	1.00578241	0.061906585039886594	0.090546	0.01371
-0.0035	0.0031	0.0133	6.45771823237902e-05	-0.00030368728984701333	-0.00021467549799530252	1.21684289	147.91589355	0.99098933	0.02362477796076938	0.0880098	0.01203
-0.0007	-0.0015	0.0241	-8.726646259971648e-05	-0.0006387905062299246	-0.00035430183815484887	1.27406991	154.87223816	1.00439966	0.04952866007329822	0.0808668	0.00864
0.0007	-0.0036	0.0046	-0.00016406094968746698	-0.0006213372137099814	-0.000486946861306418	1.23292768	149.87110901	0.99053981	0.034344640137963144	0.0834588	0.0092
-0.0042	-0.0098	0.0576	-0.0003106686068549907	-0.0006283185307179585	-0.0003647738136668148	1.23491967	150.11325073	1.01126405	0.07788810109075518	0.0746672	0.00524
-0.0043	-0.0132	0.0382	-0.0007225663103256524	-0.0005864306286700947	-0.000460766922526503	1.29267204	157.13346863	0.99743171	0.05038893571891069	0.0754977	0.00462
-0.0108	-0.0088	0.0906	-0.0008761552845011534	-0.0005550147021341969	-0.00034906585039886593	1.23197925	149.75582886	0.98941558	0.07813529864195179	0.0691088	0.00268
-0.0102	-0.0204	0.075	-0.0009651670763528643	-0.000619591884457987	-0.00046425758103049166	1.20157325	146.05975342	0.97465052	0.04123903524035634	0.0698782	0.0033
-0.0098	-0.0186	0.1127	-0.0009826203688728075	-0.0005881759579220891	-0.0003473205211468716	1.2515204	152.13119507	0.99724276	0.048190313946973054	0.0658855	0.00196
-0.0076	-0.0338	0.1006	-0.0013910274138394805	-0.0006544984694978735	-0.00037524578917878077	1.30587769	158.7387085	0.99626156	0.05463274122871833	0.0642416	0.0018
-0.0135	-0.0257	0.1198	-0.0014800392056911916	-0.0005707226654021458	-0.00041189770347066176	1.26271284	153.49171448	0.99535251	0.043671975511966	0.0624111	0.0012
-0.0192	-0.0285	0.1189	-0.0017016960206944712	-0.000640535835481919	-0.00048345620280242926	1.2166183	147.88859558	0.97950651	0.02755142422074102	0.0619203	0.00115
-0.013	-0.0406	0.0849	-0.0015917402778188286	-0.000640535835481919	-0.0004974188368183839	1.26685059	153.99467468	0.98502339	0.05849591884457986	0.0660471	0.00173
-0.0113	-0.0249	0.1137	-0.0016807520696705393	-0.0006161012259539982	-0.00042236967898262774	1.31382143	159.70431519	0.98093703	0.055624777960769374	0.0617211	0.00126
-0.0065	-0.0381	0.0928	-0.0016877333866785165	-0.0006073745796940267	-0.0005009094953223725	1.24150622	150.91389465	0.97218869	0.043612388980384685	0.0638388	0.00152
-0.0108	-0.0295	0.1225	-0.0017837264955382047	-0.0004974188368183839	-0.0003944444109507184	1.24748194	151.64028931	0.98355525	0.05822069680534926	0.061372	0.00096
-0.0103	-0.041	0.0869	-0.0018483036778619948	-0.000619591884457987	-0.000460766922526503	1.2215935	148.49336243	0.98565487	0.06025363707695888	0.0644841	0.00134
-0.0124	-0.0243	0.0939	-0.0018343410438460403	-0.0004363323129985824	-0.000317649923862968	1.22647536	149.08679199	0.98934539	0.0428169602069447	0.0648971	0.00143
-0.0137	-0.0234	0.1004	-0.002190388211252884	-0.0005340707511102648	-0.0004572762640225143	1.30261338	158.34190369	0.99644536	0.038370597283903615	0.0638786	0.00122
-0.0164	-0.0231	0.095	-0.0019460421159736775	-0.00042760566673861073	-0.0004310963252425994	1.23724592	150.39602661	0.98263578	0.027249555921538767	0.063812	0.00158
-0.0249	-0.028	0.1013	-0.0019198621771937623	-0.0005061454830783556	-0.0004974188368183839	1.18859875	144.48262024	0.97201898	0.028252113334772223	0.0631715	0.00119
-0.0246	-0.0314	0.0906	-0.0019041542139258136	-0.0006056292504420323	-0.000466002910282486	1.24842572	151.75500488	0.98229347	0.021730382858376165	0.0647944	0.00143
-0.0227	-0.0287	0.1049	-0.002078687139125246	-0.0007417649320975902	-0.0005096361415823442	1.316028	159.97254944	0.98513492	0.036615091907742425	0.0601187	0.00089
-0.0186	-0.043	0.1122	-0.0022113321622768156	-0.0007941248096574199	-0.0005951572749300663	1.22965705	149.47354126	0.97021753	0.03922630170295605	0.0595088	0.00068
-0.0219	-0.0294	0.1199	-0.0022078415037728267	-0.0007871434926494425	-0.000619591884457987	1.22990191	149.50331116	0.97269451	0.02634532925199436	0.0585299	0.00066
