trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.100196	0.00985
-0.0004	0.0065	-0.0046	-7.330382858376184e-05	-3.665191429188092e-05	-1.9198621771937625e-05	1.27202237	243.62785339	1.00270462	0.017957718232379016	0.100732	0.00675
-0.0064	-0.0072	0.0137	-0.00013962634015954637	-6.9813170079773176e-06	-5.585053606381854e-05	1.26854277	242.96142578	0.98660198	0.044632251157578455	0.0971712	0.00585
-0.0046	0.0117	0.0139	-0.0002303834612632515	-4.537856055185256e-05	-7.853981633974481e-05	1.31578362	252.0093689	0.99764746	0.028492182246175328	0.0956411	0.00516
-0.0047	-0.0074	0.0279	-0.0003106686068549907	-1.5707963267948964e-05	-0.0001186823891356144	1.28267336	245.66781616	0.99100248	0.040704915783575615	0.0920454	0.00436
-0.0073	0.0005	0.0325	-0.0003106686068549907	-0.00016406094968746698	-0.0001256637061435917	1.28221667	245.58035278	0.98588702	0.022866715171374764	0.0904859	0.00419
-0.0104	-0.0072	0.0239	-0.0	-0.0002897246558310587	-0.0001291543646475804	1.24620283	238.68269348	0.98437692	0.04139114857512856	0.0912223	0.00411
-0.0224	-0.0241	0.0513	-4.18879020478639e-05	-0.0002548180707911721	-0.00013439035240356338	1.28530204	246.17127991	0.98133542	0.06040152374218667	0.0872106	0.00336
-0.0182	0.0029	0.0141	9.42477796076938e-05	-0.00039793506945470715	-0.00014311699866353502	1.31680632	252.20524597	0.98405992	0.0827989663289532	0.0927464	0.0043
-0.0311	-0.0492	0.0398	0.0001605702911834783	-0.00034906585039886593	-0.00020943951023931956	1.3264606	254.05430603	0.99330897	0.09977571211037053	0.0878842	0.00344
-0.0274	-0.001	0.029	0.0004468042885105483	-0.0005061454830783556	-0.0001256637061435917	1.32409072	253.60041809	0.99094064	0.08905447170511438	0.0938359	0.00425
-0.0393	-0.0472	0.026	0.0012740903539558604	-0.0003769911184307752	-0.00017104226669544429	1.31557512	251.96942139	1.00503694	0.11119094953223724	0.0966473	0.00555
-0.0362	-0.0129	-0.0065	0.0012880529879718153	-0.0005899212871740833	-0.0001675516081914556	1.30092084	249.16271973	0.99468773	0.08141917306316257	0.103125	0.00652
-0.0389	-0.049	0.0068	0.0016388641676226754	-0.0005724679946541401	-0.00011693705988362007	1.27200925	243.62535095	0.99507667	0.07304395102393194	0.10059	0.00629
-0.0457	-0.0278	0.005	0.0016877333866785165	-0.0005445427266222308	-0.000148352986419518	1.27850366	244.86921692	0.98768508	0.035210520681182425	0.103977	0.00676
-0.0462	-0.0384	0.0059	0.0015515977050229591	-0.0005724679946541401	-9.250245035569947e-05	1.33764458	256.1963501	0.99062145	0.02299557428756426	0.103383	0.00636
-0.0492	-0.0413	0.0045	0.001673770752662562	-0.00062482787221397	-0.000148352986419518	1.22535253	234.68928528	0.98015775	0.018819173063162577	0.103533	0.00656
-0.0477	-0.0257	-0.0144	0.0018936822384138475	-0.0006056292504420323	-5.93411945678072e-05	1.26231265	241.76818848	0.98537043	0.0524060949687467	0.109493	0.00794
-0.0469	-0.0465	0.0071	0.0014224433403753785	-0.0006649704450098395	-7.504915783575618e-05	1.32096946	253.00259399	0.98138715	0.07041440279371126	0.101448	0.00613
-0.0483	-0.0284	-0.0266	0.001748819910498318	-0.0007016223593017205	-0.00015009831567151235	1.21845865	233.36891174	0.97901863	0.07510388211252883	0.106743	0.00735
-0.0574	-0.0548	0.0177	0.001583013631558857	-0.0006038839211900379	-9.599310885968811e-05	1.2964946	248.31498718	0.99326823	0.09568249619314835	0.101288	0.0059
-0.058	-0.0342	-0.0055	0.0016912240451825054	-0.0006667157742618339	-8.203047484373349e-05	1.31207764	251.29956055	0.97867114	0.05365024503556996	0.102527	0.0064
-0.0573	-0.0393	0.0005	0.001853539665617978	-0.0006771877497737998	-5.4105206811824215e-05	1.27526999	244.24987793	0.98675383	0.0218356431989674	0.103671	0.00674
-0.0607	-0.0513	0.0066	0.0016336281798666925	-0.0007068583470577034	-0.0001361356816555577	1.29055429	247.17723083	0.9981106	0.03808062789394613	0.100198	0.00599
-0.0554	-0.0386	-0.0086	0.0017505652397503124	-0.000757472895365539	-8.726646259971648e-05	1.26395142	242.08204651	0.97918627	0.04402104136236482	0.102015	0.00656
-0.0671	-0.0604	0.0236	0.001635373509118687	-0.0006649704450098395	-0.00011170107212763708	1.25588703	240.53749084	0.98069582	0.07730643952576227	0.096709	0.00519
-0.0597	-0.0474	0.0103	0.001556833692778942	-0.000710349005561692	-5.235987755982989e-05	1.28835082	246.75521851	0.9809237	0.04286297857297024	0.0991189	0.00568
-0.0656	-0.0757	0.0402	0.001656317460142619	-0.0005759586531581287	-9.075712110370512e-05	1.29916656	248.82673645	0.98098808	0.07771356816555577	0.096048	0.00504
-0.059	-0.0384	-0.014	0.001637118838370681	-0.0005340707511102648	2.6179938779914945e-05	1.28915346	246.90893555	0.9988552	0.10700117918517112	0.102607	0.0068
-0.0652	-0.084	0.025	0.0014433872913993105	-0.0005113814708343385	-2.96705972839036e-05	1.26693463	242.65342712	0.99402422	0.10441356816555576	0.0954004	0.00471
-0.0618	-0.0472	0.0039	0.0016336281798666925	-0.0005427973973702365	5.061454830783555e-05	1.2975105	248.509552	0.99101991	0.07639709802975096	0.101408	0.00572
-0.0682	-0.0853	0.0465	0.0011780972450961724	-0.0005375614096142535	-3.665191429188092e-05	1.32000256	252.81741333	0.99732475	0.11450166925631096	0.0919027	0.004
-0.067	-0.0558	0.0151	0.0014311699866353504	-0.0006911503837897545	-1.7453292519943294e-06	1.21689677	233.06977844	0.98017927	0.08417841503772826	0.0947316	0.00487
-0.0789	-0.1014	0.0759	0.0009861110273767962	-0.0006719517620178169	-0.00020943951023931956	1.23365223	236.27891541	0.99820996	0.15189758810089082	0.0862628	0.00281
-0.0763	-0.0599	0.031	0.0004014257279586958	-0.0009494591130849152	-0.00039793506945470715	1.31120586	251.13259888	1.02810117	0.14153441048502932	0.0864481	0.00314
-0.0781	-0.0891	0.0642	0.00018675022996339323	-0.0008674286382411819	-0.0003193952531149623	1.2785157	244.871521	0.99113738	0.08296228945893902	0.0798051	0.00212
-0.0761	-0.0726	0.0545	0.0004049163864626844	-0.0007347836150896127	-0.00030194196059501896	1.2494415	239.30299377	0.97302641	0.04661322360854018	0.0823176	0.0024
-0.0811	-0.1024	0.0846	5.759586531581287e-05	-0.0007801621756414653	-0.0003822271061867582	1.27377582	243.96369934	0.98380851	0.08854921136452316	0.077645	0.00185
-0.0835	-0.0885	0.0804	-3.839724354387525e-05	-0.0008656833089891874	-0.0004468042885105483	1.23177183	235.91876221	0.97893916	0.032804571226560025	0.0757229	0.00182
-0.0811	-0.0873	0.0792	6.806784082777885e-05	-0.0007766715171374765	-0.00037524578917878077	1.27991569	245.1396637	0.98324777	0.018151768777756608	0.0777779	0.0019
-0.089	-0.1118	0.1047	-4.71238898038469e-05	-0.0009407324668249436	-0.00047647488579445195	1.31555557	251.96568298	0.98285265	0.07692408884673818	0.0745348	0.00156
-0.0769	-0.0767	0.0683	0.0003787364476827695	-0.0010349802464326373	-0.0004206243497306334	1.2506212	239.52894592	0.98313599	0.1123979326579064	0.0803465	0.00233
-0.0837	-0.1267	0.0852	8.37758040957278e-05	-0.0007452555906015787	-0.0004206243497306334	1.31938708	252.69953918	0.98954006	0.10293426497090502	0.077171	0.00204
-0.0742	-0.0818	0.0605	0.0003595378259108319	-0.0010524335389525807	-0.0004485496177625427	1.35591388	259.69543457	0.98716882	0.10964326190990076	0.0812926	0.00244
-0.0758	-0.1093	0.0939	0.00028274333882308137	-0.000973893722612836	-0.00040317105721069014	1.29513586	248.05474854	0.98298589	0.07253564319896738	0.0790137	0.0018
-0.075	-0.0902	0.0805	0.00016929693744344995	-0.0009808750396208131	-0.00042935099599060504	1.27636039	244.45870972	0.98602851	0.04063038285837617	0.0796773	0.00199
-0.0703	-0.1133	0.0986	-4.0142572795869576e-05	-0.0007923794804054256	-0.00034557519189487725	1.26614177	242.5015564	0.98764908	0.06998554367752173	0.0771407	0.00156
-0.075	-0.1149	0.0948	0.0001239183768915974	-0.0008080874436733745	-0.0003822271061867582	1.23554277	236.64099121	0.9762329	0.02092104136236484	0.0775241	0.00172
-0.0723	-0.1105	0.0814	0.00023212879051524583	-0.0009389871375729493	-0.0004049163864626844	1.24823272	239.07148743	0.97794767	0.033589969389957466	0.0807008	0.00217
-0.0783	-0.1256	0.0948	5.585053606381854e-05	-0.000879645943005142	-0.00041015237421866745	1.23743176	237.00279236	0.9759758	0.046542771838760856	0.0756925	0.00155
