trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0569686	0.02044
-0.0011	-0.0117	0.0048	0.00021467549799530252	9.773843811168246e-05	0.0001291543646475804	1.35469556	76.53818512	1.13329196	0.039678415037728273	0.0584217	0.01932
-0.0019	-0.0012	0.0288	0.00028274333882308137	-0.0001064650843716541	1.7453292519943294e-06	1.35641646	76.63541412	1.02968197	0.05528401993533507	0.0556666	0.01908
-0.0068	-0.0055	0.011	-6.283185307179586e-05	-0.0002617993877991494	-0.00019547687622336493	1.20119405	67.86559296	1.01172305	0.061906585039886594	0.0533028	0.01535
-0.0035	0.0031	0.0133	6.45771823237902e-05	-0.00030368728984701333	-0.00021467549799530252	1.1781143	66.56162262	0.99720593	0.02362477796076938	0.0515704	0.01204
-0.0007	-0.0015	0.0241	-8.726646259971648e-05	-0.0006387905062299246	-0.00035430183815484887	1.24034214	70.07739258	1.01227755	0.04952866007329822	0.046929	0.00798
0.0007	-0.0036	0.0046	-0.00016406094968746698	-0.0006213372137099814	-0.000486946861306418	1.2036016	68.0016098	0.99365084	0.034344640137963144	0.0471613	0.00809
-0.0042	-0.0098	0.0576	-0.0003106686068549907	-0.0006283185307179585	-0.0003647738136668148	1.20919585	68.31768036	1.00842761	0.07788810109075518	0.0426243	0.00422
-0.0043	-0.0132	0.0382	-0.0007225663103256524	-0.0005864306286700947	-0.000460766922526503	1.23802686	69.94658661	0.99935499	0.05038893571891069	0.042677	0.00397
-0.0108	-0.0088	0.0906	-0.0008761552845011534	-0.0005550147021341969	-0.00034906585039886593	1.21583664	68.69287109	0.99400891	0.07813529864195179	0.0395141	0.00223
-0.0102	-0.0204	0.075	-0.0009651670763528643	-0.000619591884457987	-0.00046425758103049166	1.19833386	67.70399475	0.97977271	0.04123903524035634	0.0392023	0.00254
-0.0098	-0.0186	0.1127	-0.0009826203688728075	-0.0005881759579220891	-0.0003473205211468716	1.21748757	68.78614807	0.9999947	0.048190313946973054	0.0371895	0.00152
-0.0076	-0.0338	0.1006	-0.0013910274138394805	-0.0006544984694978735	-0.00037524578917878077	1.25974	71.17334747	0.99931948	0.05463274122871833	0.0363591	0.00119
-0.0135	-0.0257	0.1198	-0.0014800392056911916	-0.0005707226654021458	-0.00041189770347066176	1.22985446	69.48485565	0.99865862	0.043671975511966	0.035307	0.00105
-0.0192	-0.0285	0.1189	-0.0017016960206944712	-0.000640535835481919	-0.00048345620280242926	1.19914019	67.74954987	0.97894116	0.02755142422074102	0.0350066	0.00077
-0.013	-0.0406	0.0849	-0.0015917402778188286	-0.000640535835481919	-0.0004974188368183839	1.21444905	68.61447906	0.98379441	0.05849591884457986	0.0365341	0.00125
-0.0113	-0.0249	0.1137	-0.0016807520696705393	-0.0006161012259539982	-0.00042236967898262774	1.2752192	72.04789734	0.98705201	0.055624777960769374	0.0354644	0.00077
-0.0065	-0.0381	0.0928	-0.0016877333866785165	-0.0006073745796940267	-0.0005009094953223725	1.19520712	67.52733612	0.9741056	0.043612388980384685	0.0363166	0.00109
-0.0108	-0.0295	0.1225	-0.0017837264955382047	-0.0004974188368183839	-0.0003944444109507184	1.22226429	69.05602264	0.98244433	0.05822069680534926	0.0347062	0.00077
-0.0103	-0.041	0.0869	-0.0018483036778619948	-0.000619591884457987	-0.000460766922526503	1.19620585	67.58376312	0.98381125	0.06025363707695888	0.0365272	0.00109
-0.0124	-0.0243	0.0939	-0.0018343410438460403	-0.0004363323129985824	-0.000317649923862968	1.19263685	67.38211823	0.99094434	0.0428169602069447	0.0373394	0.0011
-0.0137	-0.0234	0.1004	-0.002190388211252884	-0.0005340707511102648	-0.0004572762640225143	1.27675271	72.13453674	0.99587805	0.038370597283903615	0.0360053	0.00093
-0.0164	-0.0231	0.095	-0.0019460421159736775	-0.00042760566673861073	-0.0004310963252425994	1.20928502	68.32271576	0.98396989	0.027249555921538767	0.0360934	0.00103
-0.0249	-0.028	0.1013	-0.0019198621771937623	-0.0005061454830783556	-0.0004974188368183839	1.18196011	66.77890015	0.9789601	0.028252113334772223	0.0359792	0.00082
-0.0246	-0.0314	0.0906	-0.0019041542139258136	-0.0006056292504420323	-0.000466002910282486	1.20557129	68.11289978	0.97978044	0.021730382858376165	0.0365721	0.001
-0.0227	-0.0287	0.1049	-0.002078687139125246	-0.0007417649320975902	-0.0005096361415823442	1.29243112	73.02033997	0.98795432	0.036615091907742425	0.0344814	0.00062
-0.0186	-0.043	0.1122	-0.0022113321622768156	-0.0007941248096574199	-0.0005951572749300663	1.20566869	68.11840057	0.9710136	0.03922630170295605	0.0332735	0.00049
-0.0219	-0.0294	0.1199	-0.0022078415037728267	-0.0007871434926494425	-0.000619591884457987	1.20866501	68.28768921	0.97480575	0.02634532925199436	0.0327551	0.00052
-0.022	-0.0437	0.1209	-0.0022654373690886398	-0.0007993607974134029	-0.0005881759579220891	1.21866035	68.85240936	0.99541634	0.020461454830783557	0.0328352	0.00055
-0.0205	-0.0352	0.122	-0.0026145032194875057	-0.0007888888219014368	-0.0006126105674500097	1.24126685	70.12963867	0.9996394	0.03029862177193763	0.0326625	0.00045
-0.0181	-0.0349	0.1617	-0.00294262511886244	-0.0007470009198535729	-0.0004572762640225143	1.18860793	67.15449524	0.98269129	0.0686672052425147	0.0302618	0.00037
-0.0213	-0.042	0.1306	-0.003035127569218139	-0.0008290313946973065	-0.0006963863715457374	1.09601498	61.92313766	0.95412424	0.062082151636132815	0.032195	0.0004
-0.022	-0.0147	0.1443	-0.0035377823937925057	-0.001022762941668677	-0.0007400196028455958	1.08899152	61.52632141	0.97713053	0.0787009801422798	0.0325148	0.00055
-0.0202	-0.0179	0.1109	-0.003932226804743224	-0.0009896016858807848	-0.0009826203688728075	1.21538365	68.6672821	1.03693512	0.07191032163829113	0.0338792	0.00061
-0.0201	-0.0222	0.136	-0.0037978364523396607	-0.0009983283321407565	-0.0008691739674931761	1.24872196	70.55084229	1.00127184	0.04232817000215833	0.0308533	0.00035
-0.0231	-0.0271	0.1572	-0.003935717463247213	-0.0009878563566287904	-0.0008080874436733745	1.22273445	69.0825882	0.98101204	0.03957197551196601	0.0300438	0.0003
-0.0227	-0.041	0.1502	-0.0040282199136029125	-0.0009564404300928925	-0.0008779006137531476	1.17077768	66.14710999	0.96618883	0.03098657734856852	0.03048	0.00027
-0.0243	-0.028	0.1751	-0.0039235001584832525	-0.0008639379797371932	-0.0007976154681614085	1.16150069	65.62297821	0.97859016	0.05337536755335493	0.0291913	0.00019
-0.0252	-0.0397	0.1524	-0.004089306437422714	-0.0008429940287132613	-0.0008726646259971648	1.17745781	66.5245285	0.98177065	0.0483899693899575	0.0301424	0.00019
-0.0167	-0.0329	0.1429	-0.00398284135305106	-0.0008203047484373349	-0.0008080874436733745	1.22717655	69.33355713	0.99320573	0.03448657734856858	0.0308076	0.00029
-0.016	-0.0306	0.1896	-0.004190535534038385	-0.0008464846872172499	-0.0008133234314293575	1.27156353	71.84135437	0.99386749	0.06165550537616117	0.0278594	0.00021
-0.0101	-0.0359	0.1694	-0.004309217923174	-0.0007120943348136865	-0.0009075712110370514	1.19524169	67.52928925	0.97954529	0.04876602605734359	0.0289515	0.00017
-0.0168	-0.0204	0.2051	-0.0042603487041181585	-0.0006021385919380437	-0.0007993607974134029	1.17784774	66.54656219	0.97852426	0.07125176877775663	0.0270945	0.0002
-0.0126	-0.0461	0.1791	-0.004185299546282402	-0.000593411945678072	-0.0008011061266653974	1.21707678	68.76293945	0.97974875	0.06017605666738611	0.0280244	0.00019
-0.0197	-0.0303	0.2084	-0.004230678106834255	-0.0004433136300065597	-0.0006946410422937432	1.25784719	71.06640625	0.99306451	0.06729709802975095	0.0279258	0.00021
-0.0191	-0.0491	0.1984	-0.004291764630654057	-0.00046949356878647465	-0.0008220500776893293	1.20455348	68.0553894	0.9800093	0.04013377489976516	0.0280598	0.00022
-0.0176	-0.0331	0.2113	-0.004276056667386107	-0.0002548180707911721	-0.0006754424205218055	1.23195219	69.6033783	0.98139931	0.04924955592153881	0.027579	0.00022
-0.0125	-0.053	0.1847	-0.004256858045614169	-0.0003211405823669566	-0.0007347836150896127	1.17881632	66.60128021	0.98890876	0.05884311639577645	0.0279878	0.00021
-0.0081	-0.0453	0.2128	-0.00434586983746588	-0.00016406094968746698	-0.0005811946409141118	1.15877545	65.46900177	0.98978366	0.06018401993533506	0.0270957	0.00019
-0.0108	-0.0592	0.207	-0.004783947479716458	-0.0003316125578789226	-0.0008290313946973065	1.14435732	64.65440369	0.97455064	0.0650733002112614	0.0272394	0.00016
-0.0106	-0.0461	0.2135	-0.0049864056729478	-0.00030368728984701333	-0.0007958701389094143	1.10273468	62.30278778	0.97181033	0.03297723585255719	0.0273885	0.00025
-0.0056	-0.0513	0.2397	-0.005028293574995664	-0.00015533430342749534	-0.0007016223593017205	1.20039618	67.82051086	0.99263151	0.05062443340375376	0.0260201	0.0002
-0.0007	-0.0488	0.2281	-0.005276130328778859	-0.00030194196059501896	-0.0008360127117052838	1.21000636	68.36347198	1.00766999	0.045441738167714095	0.0261962	0.00019
0.0096	-0.0392	0.2449	-0.005235987755982988	5.585053606381854e-05	-0.000609119908946021	1.20246649	67.93747711	0.9874433	0.06794139361069855	0.0263309	0.00022
0.012	-0.0599	0.2208	-0.00518013721991917	0.0002705260340591211	-0.000577703982410123	1.14904773	64.91940308	0.97621319	0.062297098029750926	0.0279027	0.00027
0.0064	-0.0504	0.2546	-0.005133013330115323	0.0003351032163829112	-0.0005044001538263612	1.18139327	66.74687958	0.98097238	0.05815024503556997	0.0266625	0.00023
0.0066	-0.0688	0.2372	-0.005169665244407204	0.000153588974175501	-0.0005131268000863328	1.21590006	68.69645691	0.97964249	0.04734464013796316	0.02708	0.00019
0.0062	-0.0485	0.2674	-0.005146975964131278	0.00030194196059501896	-0.0004625122517784973	1.20121634	67.86685181	0.98608952	0.061982840750164	0.0267341	0.0003
0.0047	-0.0677	0.2483	-0.005426228644450371	8.726646259971648e-05	-0.0005759586531581287	1.23205256	69.60904694	0.99013829	0.07016872898470135	0.0266531	0.00019
0.0059	-0.0537	0.255	-0.0052499503899989435	0.00014486232791552936	-0.0005585053606381855	1.21973383	68.91305542	0.97594766	0.03446637061435917	0.02615	0.00021
0.0037	-0.0639	0.2441	-0.005335471523346666	0.00011344640137963142	-0.0006736970912698113	1.13818729	64.30580902	0.96715399	0.034906439525762306	0.0260413	0.00018
0.0053	-0.0556	0.2562	-0.005220279792715039	6.283185307179586e-05	-0.000619591884457987	1.16157913	65.62741089	0.97583164	0.03299557428756432	0.0254208	0.00012
0.006	-0.0583	0.2146	-0.005368632779134557	1.7453292519943294e-06	-0.0007452555906015787	1.11465716	62.97639084	0.96407936	0.061755160819145546	0.0280007	0.00025
0.0117	-0.0603	0.2595	-0.005391322059410484	5.585053606381854e-05	-0.0006021385919380437	1.09931767	62.10973358	0.96344686	0.0635955742875643	0.0256341	0.00025
0.0136	-0.0653	0.2147	-0.005375614096142535	0.00010471975511965978	-0.0006702064327658224	1.08245528	61.15703201	0.95248088	0.058332251157578445	0.0278082	0.00023
0.0075	-0.0586	0.2829	-0.005501277802286126	0.00014137166941154068	-0.0005305800926062762	1.07225454	60.58071136	0.97339022	0.0960970980297509	0.0248496	0.00015
0.0157	-0.0643	0.227	-0.005473352534254217	6.806784082777885e-05	-0.0006161012259539982	1.16128266	65.61065674	0.99739032	0.07913751149816961	0.02752	0.00027
0.0135	-0.0572	0.2548	-0.005457644570986268	0.00014486232791552936	-0.0005078908123303499	1.19765913	67.66587067	0.98301326	0.04713564319896742	0.0266696	0.0003
0.0125	-0.0558	0.2238	-0.005537929716578008	2.268928027592628e-05	-0.0007120943348136865	1.20822775	68.26298523	0.99495517	0.05373308578573402	0.0276647	0.00031
0.0113	-0.0514	0.2829	-0.005340707511102648	9.075712110370512e-05	-0.0005864306286700947	1.21731043	68.77613831	1.00959925	0.08424768762233653	0.0253122	0.00026
0.0155	-0.0641	0.2209	-0.005159193268895238	-1.7453292519943296e-05	-0.0008185594191853405	1.20072985	67.8393631	1.0144917	0.10499267231731518	0.0272696	0.00034
0.0169	-0.0505	0.2667	-0.005159193268895238	-5.235987755982988e-06	-0.0006824237375297829	1.22123027	68.99760437	1.01165753	0.06821764932097588	0.0256581	0.00017
0.0196	-0.0593	0.2124	-0.0052447144022429604	-0.00028797932657906436	-0.0008726646259971648	1.28152752	72.4043045	1.02311596	0.09372526803190925	0.0285692	0.00029
0.0141	-0.047	0.2441	-0.005216789134211051	3.4906585039886588e-06	-0.0007417649320975902	1.26519656	71.48162842	1.01326823	0.07201474735072688	0.0270972	0.00033
0.0081	-0.0516	0.2443	-0.005318018230826722	-9.250245035569947e-05	-0.0007766715171374765	1.2039398	68.02072144	0.99561981	0.02240643952576228	0.0263267	0.00023
0.0086	-0.0561	0.252	-0.0052010811709431014	-5.4105206811824215e-05	-0.000726056968829641	1.22417188	69.1638031	1.00694894	0.022997442586766594	0.0256552	0.00016
0.0047	-0.0517	0.235	-0.005133013330115323	-0.00014137166941154068	-0.0007696902001294993	1.15751505	65.39779663	0.99463175	0.03524837673636769	0.0257704	0.00014
0.0092	-0.0556	0.235	-0.005017821599483697	-0.0002548180707911721	-0.0007766715171374765	1.17748129	66.52585602	0.98122491	0.020180972450961728	0.025067	0.0002
0.0047	-0.0578	0.2758	-0.0052778756580308525	-0.0002705260340591211	-0.0007016223593017205	1.28610408	72.66287231	1.00898488	0.06504055898254305	0.024433	0.00015
0.0078	-0.0672	0.2381	-0.005094616086571448	-0.00024609142453120044	-0.000783652834145454	1.21219993	68.48740387	0.98819635	0.06468623279155293	0.0253946	0.00015
0.0079	-0.0583	0.2769	-0.005204571829447091	-0.0001658062789394613	-0.0007155849933176752	1.19240463	67.3690033	0.97807949	0.060715436464758014	0.0238332	0.00017
0.0068	-0.07	0.2379	-0.005220279792715039	-0.00020943951023931956	-0.0008168140899333463	1.15843856	65.44997406	0.98053153	0.059828514559173866	0.025471	0.00015
0.0064	-0.0427	0.2745	-0.0052778756580308525	8.552113334772214e-05	-0.0005742133239061344	1.16606104	65.88063049	0.9858588	0.09405786374650336	0.0251907	0.00019
0.0093	-0.0795	0.2769	-0.004949753758655919	-0.00010297442586766544	-0.0005567600313861911	1.258394	71.09729767	1.0075763	0.06880353755551319	0.0240031	0.00021
0.0061	-0.082	0.281	-0.004920083161372014	-0.00014137166941154068	-0.0006492624817418905	1.21410787	68.59519958	0.96736584	0.017828514559174002	0.0245996	0.00028
-0.0002	-0.0638	0.2667	-0.005009094953223725	-0.00021467549799530252	-0.0007347836150896127	1.21368814	68.57148743	0.98337782	0.05119183768915978	0.024791	0.00027
0.0014	-0.0619	0.2662	-0.0051452306348792835	-0.0003682644721708035	-0.0007470009198535729	1.22936094	69.45697784	0.98124972	0.01909709802975097	0.0246319	0.00022
-0.0006	-0.0615	0.2773	-0.005019566928735692	-0.0004206243497306334	-0.0007487462491055673	1.22262859	69.07660675	0.98032535	0.022488445647770777	0.0239412	0.00019
-0.002	-0.0572	0.2888	-0.005242969072990966	-0.0004433136300065597	-0.0007906341511534313	1.12061203	63.31282806	0.95662745	0.0315989663289532	0.0241287	0.00026
-0.0057	-0.0628	0.2855	-0.005281366316534841	-0.000296705972839036	-0.0006789330790257941	1.10421491	62.3864212	0.95462938	0.02743529864195181	0.0250605	0.00028
-0.0089	-0.0533	0.2919	-0.0053058009260627615	-0.0002513274122871834	-0.0006859143960337716	1.10552001	62.46015549	0.95119532	0.022939724354387545	0.0246678	0.00023
-0.0077	-0.0662	0.2718	-0.005126032013107346	-0.0003874630939427412	-0.0006946410422937432	1.13640141	64.20491028	0.96402537	0.05043156204354725	0.0239795	0.00025
-0.008	-0.0584	0.2805	-0.005328490206338688	-0.0004921828490624009	-0.0006859143960337716	1.14733541	64.82266235	0.96491238	0.03259522973054872	0.0237259	0.00016
-0.0072	-0.0737	0.2662	-0.005237733085234983	-0.0006056292504420323	-0.0007120943348136865	1.19250524	67.37468719	0.97235888	0.04191917306316263	0.0237785	0.00017
